245$a	245$b	245$c	100	wikidata100	502$b	502$c	502$d	008	300$a	700	Wikidata	856$u	001
Repetition and iconicity in Homer /		Megan O'Donald.	"O'Donald, Megan,author.http://www.wikidata.org/entity/Q107203460"	Q107203460	Ph. D.	University of Washington	2019.	191126t20192019wau\\\\\obm\\s000\0\eng\d	"1 online resource (viii, 260 pages)"	"Levaniouk, Olga,1971-degree supervisor.http://www.wikidata.org/entity/Q90070146"	Q90070146	http://hdl.handle.net/1773/44762	1128882741
The Peri Demosthenous of Didymos Grammatikos /		by Kelly Thomas Osborne.	"Osborne, Kelly Thomas."		Ph. D.	University of Washington	1990	910823s1990\\\\xx\\\\\\\bmt\\000\0\eng\d	252 leaves			http://hdl.handle.net/1773/11452;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9117972	24282939
Inscribing Augustan Personae :	epigraphic conventions and memory across genres /	Morgan E. Palmer.	"Palmer, Morgan E.,author.http://www.wikidata.org/entity/Q107154984"	Q107154984	Ph. D.	University of Washington	2014	141211t20142014wau\\\\\obm\\s000\0\eng\d	"1 online resource (vi, 193 pages)"	"Gowing, Alain M.,1953-degree supervisor.http://www.wikidata.org/entity/Q102121137"	Q102121137	http://hdl.handle.net/1773/26265	898046476
Horses and horsemanship in the oral poetry of Ancient Greece and the Indo-European world /		Ryan Platte.	"Platte, Ryan."		Ph. D.	University of Washington	2008	081119s2008\\\\xx\\\\\\\bm\\\000\0\eng\d	"ii, 144 leaves"			http://hdl.handle.net/1773/11480;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3318230	274372674
The Trophos from Homer to Euripides as a figure of authority /		by Helen Pounara-Karydas.	"Pournara-Karydas, Helen."		Ph. D.	University of Washington	1992	930701s1992\\\\xx\\\\\\\bmt\\000\0\eng\d	"iii, 281 leaves"			http://hdl.handle.net/1773/11455	28365910
Locus ambiguus :	from otium to labor in Vergil's Eclogues and Georgics /	by Lorina N. Quartarone.	"Quartarone, Lorina N.,1959-"		Ph. D.	University of Washington	1996	980312s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 259 leaves"			http://hdl.handle.net/1773/11478	38594808
"""Tradition and Innovation in Apollonios' characterization of Medea in the Argonautika"" /"		by Alan Huston Rawn.	"Rawn, Alan Huston."		Ph. D.	University of Washington	1993	940421s1993\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 225 leaves"				30310847
Columella's Georgics :	"form, method, intertextuality, ideology /"	Alberto A. Requejo.	"Requejo, Alberto A.,author.http://www.wikidata.org/entity/Q107182574"	Q107182574	Ph. D.	University of Washington	2017	180501t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (viii, 247 pages)"	"Hinds, Stephen,degree supervisor.http://www.wikidata.org/entity/Q2344786"	Q2344786	http://hdl.handle.net/1773/40868	1033544595
Prophecy and policy in Roman Egypt /		by Pauline Laura Ripat.	"Ripat, Pauline Laura,1973-"		Ph. D.	University of Washington	2003	040121s2003\\\\xx\\\\\\\bm\\\000\0\eng\d	"iv, 340 leaves"			http://hdl.handle.net/1773/11483;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3091060	54064067
Ammianus Marcellinus and the imperial bureaucracy :	a historiographical study /	by David Rohrbacher.	"Rohrbacher, David,1969-"		Ph. D.	University of Washington	1998	990219s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 212 leaves"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9836241	40828331
Herodotus among the sages :	four studies on the intellectual background of the Histories /	Eric Ross.	"Ross, Eric,1977-"		Ph. D.	University of Washington	2007	080731s2007\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 195 leaves"			http://hdl.handle.net/1773/11470;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3290586	237126858
Semantics and the structure of Latin etymological wordplay /		Colin R. Shelton.	"Shelton, Colin R."		Ph. D.	University of Washington	2011	120222s2011\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 208 pages"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485549	777862715
Killer queen :	"Clytemnestra as goddess, heroine, and monster /"	Anna E. Simas.	"Simas, Anna E.,author.http://www.wikidata.org/entity/Q104552010"	Q104552010	Ph. D.	University of Washington	2020.	200921t20202020wau\\\\\obm\\s000\0\eng\d	"1 online resource (v, 231 pages)"	"Blondell, Ruby,1954-degree supervisor.http://www.wikidata.org/entity/Q55154421"	Q55154421	http://hdl.handle.net/1773/45915	1196378780
The sacrifice of Polyxena in Catullus 64 /		by Stephen Thielke.	"Thielke, Stephen."		M.A.	University of Washington	1994	950112s1994\\\\xx\\\\\\\bm\\\000\0\eng\d	"ii, 128 leaves"				31807779
Sunt lacrimae rerum :	an analysis of the tragic elements of Livy's Ab urbe condita /	by Melvin D. Thomas.	"Thomas, Melvin D."		Ph. D.	University of Washington	1991	920409s1991\\\\xx\\\\\\\bm\\\000\0\eng\d	"v, 212 leaves"				25619999
Patterns of imagery in Ciceronian invective /		James Stephen Tolf.	"Tolf, James Stephen."		Ph. D.	University of Washington	1999	000509s1999\\\\xx\\\\\\\bm\\\000\0\eng\d	"ii, 153 leaves"			http://hdl.handle.net/1773/11474;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9944189	44017094
Vates and initiates :	Augustan poetic manipulation of Greek mystery cult /	Adriana Vazquez.	"Vazquez, Adriana,author.http://www.wikidata.org/entity/Q107172171"	Q107172171	Ph. D.	University of Washington	2017	171218t20172017waua\\\\obm\\s000\0\eng\d	1 online resource (295 pages)	"Hinds, Stephen,degree supervisor.http://www.wikidata.org/entity/Q2344786"	Q2344786	http://hdl.handle.net/1773/40533	1015727295
