245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
"The effect of water vapor on the preflame reaction of heptane with oxygen,"		by Richard Wilson Borry Jr.	"Borry, Richard Wilson."		M.S. in Chem. Eng.	University of Washington		890707s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	53 unnumbered leaves			19976500
Adsorption of resin acids by activated carbon.			"Borzelli, Richard Dennis."		M.S. Ch. E.	University of Washington		890515s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	44 leaves			19706695
Size distributions of aerosole emitted from a kraft mill recovery furnace.			"Bosch, John Cecil."		M.S. Ch. E.	University of Washington		890516s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	62 leaves			19712057
A fluidized bed plant for the production of sulfuric acid from gypsum.			"Bradai, Taoufik."		M.S. Ch. E.	University of Washington		890515s1968\\\\xx\\\\\\\bm\\\000\0\eng\d	145 leaves			19706908
The measurement of self-diffusion coefficients in liquid carbon dioxide.			"Brandt, Donald Charles."		M.S. in Chem. Eng.	University of Washington		890707s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	92 leaves			19976413
The hydrodynamic entry length in rectangular channels.			"Bromfeld, Frederick Solomon,1938-"		Ph. D.	University of Washington		890607s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	64 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6505410	19828798
Turbulence measurements with inclined hot-wires.			"Champagne, Francis Henry,1938-"		Ph. D.	University of Washington		890620s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	156 leaves			19899060
Flow patterns in horizontal steam-water flow.			"Chetty, Vr. Sevugan."		M.S. in Chem. E.	University of Washington		890620s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	83 leaves			19897667
The effect of micelles on the kinetics of the homogeneous Cannizzaro reaction.			"Cramer, Larry Ray."		M.S. Ch. E.	University of Washington		890525s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	49 leaves			19761734
Continuity in two phase (liquid-liquid) flow.			"Crippen, Monte Dennis."		M.S. in Chem. E.	University of Washington		890728s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	48 leaves			20082137
Ion exchange studies in the Bromide-Sulfate-Amberlite IRA-400 system.			"Demmitt, Thomas Frederick."		M.S. Ch. E.	University of Washington		890506s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	89 leaves			19673715
Investigation on the reactivity of cellulosic fibers with a fiber reactive dye.			"Desert, Max Durin."		M.S. Ch. E.	University of Washington		890506s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	47 leaves			19673674
The kinetics of adsorption and desorption in mass transfer across the liquid-liquid interface.			"England, Dennis Carl,1942-"		Ph. D.	University of Washington		890619s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	181 leaves			19889606
A study of the effects of adsorption and the kinetics of adsorption and desorption on mass transfer.			"England, Dennis Carl,1942-"		M.S. Ch. E.	University of Washington		890619s1967\\\\xx\\\\\\\bm\\\000\0\eng\d	85 leaves			19889499
Development of a method to measure axial dispersion in a nonisothermal packed bed.			"Ensor, David Samuel."		M.S. Ch. E.	University of Washington		890530s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	77 leaves			19782857
Fuel production facility high level radiation alarm system.			"Forbes, Sherman Guy."		M.S. in E.	University of Washington		890622s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	51 leaves			19910101
A study of interphase mass transfer in binary liquid systems using laminar jets.			"Fosberg, Theodore Michael,1934-"		Ph. D.	University of Washington		890622s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	114 leaves			19910009
"The transient holdup response of a pulsed, sieve plate extraction column,"		"by Herbert Robson Foster, Jr."	"Foster, Herbert Robson,1932-"		Ph. D.	University of Washington		890530s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	157 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6803850	19782644
