245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
"Transient solution to the equations describing a stagewise countercurrent extraction process,"		"by Herbert Robson Foster, Jr."	"Foster, Herbert Robson,1932-"		M.S. in Chem. E.	University of Washington		890622s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	231 leaves			19910052
The effect of surface active agents on a packed distillation column.			"Francis, Robert Craig."		M.S. Ch. E.	University of Washington		890622s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	58 leaves			19910217
Dissolution of network polymers by chemical degradation.			"Gardner, Howard Wyatt,1930-"		Ph. D.	University of Washington		890531s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	105 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7014755	19786670
Kinetics of the vapor-phase dehydration of methanol and ethanol catalyzed by cation exchange resins.			"Gates, Bruce C."		Ph. D.	University of Washington		890516s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	259 leaves			19712076
A study of the chemical reactions occurring during the alkaline treatment of polysaccharides.			"Haas, Donald Walter."		M.S. in Chem. E.	University of Washington		890607s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	61 leaves			19828358
The rheology of concentrated suspensions.			"Ham, Robert Kenneth,1937-"		M.S. Ch. E.	University of Washington		890705s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	79 leaves			19960270
Mass transfer and Marangoni convection.			"Haselberger, Gilbert Steven."		M.S. Ch. E.	University of Washington		890511s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	84 leaves			19692488
The effects of Triton X-100 on the homogeneous Cannizzaro reaction.			"Hayashi, James Akira."		M.S. Ch. E.	University of Washington		890705s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	55 leaves			19960215
Adsorption of ethanol and water vapor on ion exchange resin and catalysis of ethanol dehydration.			"Herlihy, James Christopher,1934-"		Ph. D.	University of Washington		890523s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	161 leaves		http://hdl.handle.net/1773/9851	19752366
The directional sensitivity of a hot-film anemometer in mercury.			"Hill, James Christian,1940-"		Ph. D.	University of Washington		890523s1968\\\\xx\a\\\\\m\\\\000\0\eng\d	110 leaves			19752440
Transition to turbulence for steady and pulsating flow through a distensible tube.			"Hoaas, Stephen Leroy."		M.S. Ch. E.	University of Washington		890523s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	65 leaves			19752166
Flow-through cartridge method of studying reaction kinetics in the delignification of wood.			"Hobart, Richard Lee."		M.S. in Chem. E.	University of Washington		890607s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	51 leaves			19828312
A study of inversion in the horizontal pipeline flow of two immiscible liquids.			"Hubmer, George Bruce."		M.S. in Chem. E.	University of Washington		890602s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	58 leaves			19804702
A molecular model for interfacial momentum transport across a gas-solid interface.			"Kaku, Yukio John."		M.S. Chem. E.	University of Washington		890612s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	70 leaves			19852872
Separation of methyl sulfides from terpenes of kraft pulp mill condensate streams by adsorption.			"Kim, Kap Kyun."		M.S. Ch. E.	University of Washington		890508s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	74 leaves			19674078
Critical flow slip ratios of steam-water mixtures.			"Klingebiel, Ward John,1937-"		Ph. D.	University of Washington		890608s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	213 leaves			19834322
"An analysis of a uranium-233:thorium-232 fast reactor system,"		"by George Susumu Kobayashi, Jr."	"Kobayashi, George Susumu."		M.S. in Chem. E.	University of Washington		890622s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	79 leaves			19910162
Random signal analysis in two-phase flow.			"Larson, James Wehrly."		M.S. Ch. E.	University of Washington		890530s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	39 leaves			19782765
Theoretical study of molecualar beam scattering on solid surfaces.			"Lee, Young Jai."		M.S. Chem. E.	University of Washington		890612s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	96 leaves			19852652
Statistical mechanical theory of shock waves and suspensions.			"Lin, Chen-jung,1940-"		Ph. D.	University of Washington		890619s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	180 leaves			19890122
Condensing heat transfer coefficients for binary immiscible liquids.			"Livingston, Gene Paul."		M.S. Ch. E.	University of Washington		890518s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	83 leaves			19729833
Single drop mass transfer augmented by interfacial instability.			"Lode, Torger,1938-"		Ph. D.	University of Washington		890518s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	117 leaves			19729891
Rate of condensation of water.			"Lofgren, Christopher L."		M.S. in Chem. E.	University of Washington		890721s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	73 leaves			20050791
Interfacial mass transfer in liquid-liquid systems.			"Lutton, Robert Carlisle,1925-"		Ph. D.	University of Washington		890518s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	88 leaves			19729951
Transient natural convection heat transfer in a horizontal cylinder.			"Maahs, Howard G."		Ph. D.	University of Washington		890724s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	238 leaves			20055993
Hydrodynamic effects on interfacial mass transport.			"Marsh, Bertrand Duane,1938-"		Ph. D.	University of Washington		890602s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	123 leaves			19805743
Determination of aerosol size and velocity by holography and steam-water critical flow.			"Matkin, John Howard,1940-"		Ph. D.	University of Washington		890523s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	152 leaves			19752401
Stability and control of imperfectly mixed stirred tank reactors.			"Maurer, Charles Jay,1932-"		Ph. D.	University of Washington		890523s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	213 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6803864	19752497
The effect of coriolis forces on surface tension driven convection.			"McConaghy, George Alloysius."		M.S. Ch. E.	University of Washington		890518s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	70 leaves			19730032
"Kinetics of methyl mercaptan and dimethyl sulfide formation during kraft pulping,"		"by William Thomas McKean, Jr."	"McKean, William Thomas,1938-"		Ph. D.	University of Washington		890523s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	108 leaves			19752481
"The rate of hydrolysis of nitrogen tetroxide,"		by Albert James Moll.	"Moll, Albert James,1937-"		Ph. D.	University of Washington	1966	960503s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	133 leaves			34674442
Surface tension driven convection in evaporating liquid layers.			"Moore, Colin Arthur."		M.S. Ch. E.	University of Washington		890605s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	95 leaves			19817100
Density effects in Marangoni convection.			"Morig, Carl Richard."		M.S. Chem. E.	University of Washington		890612s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	65 leaves			19852831
Rates of externally-controlled ion exchange for monovalent systems with linear equilibrium.			"Morrison, Jimmy Lee."		M.S. Ch. E.	University of Washington		890605s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	87 leaves			19816983
The effect of surface active agents on liquid-liquid mass transfer rates.			"Mudge, Lyle Kenneth,1937-"		Ph. D.	University of Washington		890605s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	158 leaves			19816947
Macromolecular organometallic catalysts for epoxidation.			"Neogi, Sreeman Amar Nath,1944-"		M.S. Ch. E.	University of Washington		890821s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	63 leaves			20223451
"Controlled cycling extraction in a pulsed sieve plate, solvent extraction column."			"Neumayer, Robert Charles."		M.S. Ch. E.	University of Washington		890821s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	102 leaves			20223467
Characterization of pulsed column dynamics from response to random inputs.			"Niccoli, Lino George."		M.S. Ch. E.	University of Washington		890821s1967\\\\xx\\\\\\\bm\\\000\0\eng\d	126 leaves			20223442
Two problems in turbulence	A.A theoretical and empirical study of the limiting form of the eddy diffusivity near a wall. B. Matched asymptotic expansions applied to the turbulent graetz problem.		"Notter, Robert Harley,1942-"		Ph. D.	University of Washington		890821s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	225 leaves			20223557
"A photographic study of liquid-liquid mass transfer controlled by the dispersed phase resistance,"		"by Jarl Lional Opgrande, Jr."	"Opgrande, Jarl Lionel."		M.S. in Chem. Eng.	University of Washington		890724s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	35 leaves			20058920
Drop breakup in turbulent pipe flow	the effect of an orifice.		"Percy, James Stuart."		M.S. Chem. E.	University of Washington		890612s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	48 leaves			19852723
Concentration polarization in desalination by reverse osmosis.			"Popovich, Robert P."		M.S. CH. E.	University of Washington		890616s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	97 leaves			19878979
Diffusivity of slightly soluble solids.			"Pradhan, Amir Ali."		M.S. CH. E.	University of Washington		890616s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	61 leaves			19878999
Drop formation mass transfer.			"Rajan, S. Mohan,1945-"		Ph. D.	University of Washington		890516s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	115 leaves			19712073
The concentration and temperature dependence of mutual diffusivities in non-ideal binary liquid systems.			"Rathbun, Ronald Eugene,1932-"		Ph. D.	University of Washington		890707s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	258 leaves		http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6515404	19976424
The effect of property variations on the convective instability of gases.			"Roja, Demosthenes Santa Catalina."		M.S. Ch. E.	University of Washington		890522s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	54 leaves			19745102
Measurement of metastability in a duct containing a flowing steam-water mixture under choking conditions.			"Rosenfeld, Robert Tobias,1936-"		Ph. D.	University of Washington		890522s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	192 leaves			19745053
Surface diffusion in a myristic acid monomolecular film on a liquid substrate.			"Sakata, Edward Kaoru."		M.S. Ch. E.	University of Washington		890522s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	98 leaves			19744631
Design considerations and operating characteristics of the plutonium recycle gas-cooled loop facility.			"Schively, Dixon Prichard."		M.S. in Chem. Eng.	University of Washington		890707s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	34 leaves			19976382
Diffusion in water-swollen ion-exchange resins.			"Schmidt, John Edward,1935-"		Ph. D.	University of Washington		890516s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	2 volumes (461 leaves)			19712253
The liquid-vapor system SO₂-NH₃-H₂O at 25° C.	The nature and extent of species present at thermodynamic equilibrium.		"Scott, W. D.(William David),1937-"		Ph. D.	University of Washington		890713s1964\\\\xx\a\\\\\bm\\\000\0\eng\d	215 leaves			20001293
Studies in the kinetic theory of fluids.			"She, Richard Shih-chau,1943-"		Ph. D.	University of Washington		890522s1968\\\\xx\\\\\\\bm\\\000\0\eng\d	145 leaves			19744899
A study of the vapor-liquid equilibrium of methyl mercaptan as a function of temperature and pH.			"Shih, Thomas Tiau-Chang."		M.S. in Chem. Eng.	University of Washington		890707s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	73 leaves			19976467
The behavior of fluids with nonsymmetric stress tensors.			"Silver, Dayton Lee."		M.S. Ch. E.	University of Washington		890605s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	50 leaves			19817159
Ternary ion exhange equilibria for the system Ba++ - Cu++ - N+ - Dowex 50W - X8.			"Smith, Stuart Evan."		M.S. in Chem. E.	University of Washington		890602s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	152 leaves			19805447
Stability and convective heat transfer in pools of liquid heated from below /		by Leslie Eugene Sparks.	"Sparks, L. E."		M.S. Ch. E.	University of Washington	1967	890605s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	67 leaves :			19817129
The instability of capillary jets.			"Sterling, Arthur MacLean,1938-"		Ph. D.	University of Washington		890516s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	110 leaves			19712120
A digital analysis of rapid-transient steam-water flow.			"Steves, Lewis Hardeman."		M.S. Ch. E.	University of Washington		890515s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	84 leaves			19706868
"The alkaline hydrogenation of western hemlock woodmeal,"		"by Agapito Inductivo Valencia, Jr."	"Valencia, Agapito Inductivo."		M.S. Ch. E.	University of Washington		890721s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	56 leaves			20051007
Ionic migration effects on liquid-resistance-controlled ion exchange.			"Van Brocklin, Lester Paul,1936-"		Ph. D.	University of Washington		890518s1968\\\\xx\a\\\\\bm\\\000\0\eng\d	249 leaves			19729725
Numerical solution of single particle ion exchange kinetics.			"Von Fuchs, G. F."		M.S. Ch. E.	University of Washington		890713s1966\\\\xx\a\\\\\bm\\\000\0\eng\d	198 leaves			20001342
"Drop size distributions from breakup in turbulent flow,"		"by Samuel Robert Wharry, Jr."	"Wharry, Samuel Robert."		M.S. in Chem. Eng.	University of Washington		890724s1965\\\\xx\a\\\\\bm\\\000\0\eng\d	46 leaves			20059332
Self-diffusion of barium and sodium ions in Dowex 50 W-X8 as a function of exchanger composition.			"Yuan, Wei-wu."		M.S. Ch. E.	University of Washington		890516s1967\\\\xx\a\\\\\bm\\\000\0\eng\d	125 leaves			19712227
The kinetics of desorption of monomolecular films.			"Zamora, Maria Concepcion."		M.S. Ch. E.	University of Washington		890516s1969\\\\xx\a\\\\\bm\\\000\0\eng\d	55 leaves			19712306
The sieve plate solvent extraction column	a model and its applications.		"Ahlstrom, Stephen Warren."		M.S. Ch. E.	University of Washington		890522s1972\\\\xx\a\\\\\bm\\\000\0\eng\d	101 leaves			19745369
Holographic determination of drop size distribution in air-water critical flow.			"Alcabes, Carlos J."		M.S. Ch. E.	University of Washington		890525s1974\\\\xx\a\\\\\bm\\\000\0\eng\d	72 leaves			19761879
"A study of low quality, high pressure, steam-water critical discharge from a vessel."			"Allemann, R. T.(Rudolph Theodore),1931-"		Ph. D.	University of Washington		890525s1970\\\\xx\a\\\\\bm\\\000\0\eng\d	139 leaves			19762016
Finite element collocation solutions to Newtonian fluid flowing past a sphere.			"Andermann, Ronald Edward."		M.S. Ch. E.	University of Washington		890522s1974\\\\xx\a\\\\\bm\\\000\0\eng\d	146 leaves			19745534
The effect on mass transfer of small quantities of additives in the liquid phase of a gas-liquid dispersion.			"Benedek, Andrew Austin,1943-"		Ph. D.	University of Washington		890522s1970\\\\xx\a\\\\\bm\\\000\0\eng\d	131 leaves			19745231
The transfer of surface-active agents across a liquid-liquid interface.			"Berglund, Ronald Lee."		M.S. Ch. E.	University of Washington		890522s1971\\\\xx\a\\\\\bm\\\000\0\eng\d	125 leaves			19745313
An investigation of carbon adsorption resistant organic compounds in domestic sewage.			"Bernhardt, Donald James."		M.S. Ch. E.	University of Washington		890516s1972\\\\xx\a\\\\\bm\\\000\0\eng\d	75 leaves			19712008
Photochromism in 1-hydroxyimidazoles.			"Bindra, Jagjeet Singh."		M.S. Ch. E.	University of Washington		890516s1970\\\\xx\a\\\\\bm\\\000\0\eng\d	81 leaves			19712020
Jet flow of a purely viscous fluid.			"Bladier, Christian."		M.S. Ch. E.	University of Washington		890516s1974\\\\xx\a\\\\\bm\\\000\0\eng\d	70 leaves			19711977
Some properties of dipalmitoyl lecithin monolayers.			"Bowen, Brian Charles."		M.S. Ch. E.	University of Washington		890516s1970\\\\xx\a\\\\\bm\\\000\0\eng\d	57 leaves			19712047
"The effects of surface adsorption, heat transfer, and mass transfer on the stability of capillary jets."			"Burkholder, Harry Calvin."		Ph. D.	University of Washington		890516s1973\\\\xx\a\\\\\bm\\\000\0\eng\d	184 leaves			19712152
Measurement of gas permeability coefficients and separation factors of permselective membranes using a radioactive tracer technique.			"Cabodi, Alan Joseph."		M.S. Ch. E.	University of Washington		890525s1971\\\\xx\a\\\\\bm\\\000\0\eng\d	48 leaves			19761860
Unimolecular decomposition of an internally dis-equilibrated molecule and a quasi-dynamic model for unimolecular reactions.			"Cavanagh, Douglas A."		M.S. Ch. E.	University of Washington		890516s1972\\\\xx\a\\\\\bm\\\000\0\eng\d	29 leaves			19712091
A preliminary study of a proposed oxygen-alkaline pulping process.			"Cȩlik, Mustafa Yaşar."		M.S. Ch. E.	University of Washington		890516s1972\\\\xx\a\\\\\bm\\\000\0\eng\d	47 leaves			19712110
Kinetic and thermodynamic properties of alkyl radicals by chemical activation spectroscopy.			"Cena, Robert J."		M.S. CH. E.	University of Washington		890616s1974\\\\xx\a\\\\\bm\\\000\0\eng\d	82 leaves			19878961
The alternating direction implicit method with orthogonal collocation on finite elements formulation and applications.			"Chang, Ping-wu."		M.S. Ch. E.	University of Washington		890516s1975\\\\xx\a\\\\\bm\\\000\0\eng\d	94 leaves			19712167
An investigation of design features of a natural convective cell.			"Chow, David Kamching."		M.S. Ch. E.	University of Washington		890516s1970\\\\xx\a\\\\\bm\\\000\0\eng\d	105 leaves			19712038
Activated carbon adsorption in municipal wastewater treatment and reuse systems.			"Chow, David Kamching,1948-"		Ph. D.	University of Washington		890516s1975\\\\xx\a\\\\\bm\\\000\0\eng\d	"183, [2] leaves"			19712067
Optimization of two chemical coupling techniques for immobilizing molecules to hydrogel surfaces.			"Christman, Gary Marvin."		M.S. Ch. E.	University of Washington		890516s1973\\\\xx\a\\\\\bm\\\000\0\eng\d	141 leaves			19711991
Kinetics of alkyl radical isomerization networks.			"Chua, Peter Tan."		M.S. CH. E.	University of Washington		890616s1971\\\\xx\a\\\\\bm\\\000\0\eng\d	81 leaves			19878955
Surface diffusion in monomolecular films.			"Chung, Sung Taik,1943-"		Ph. D.	University of Washington		890616s1971\\\\xx\a\\\\\bm\\\000\0\eng\d	187 leaves			19878953
Thermolytic treatment of phenolated sulfite lignin.			"Dalan, Jon A."		M.S. Ch. E.	University of Washington		890619s1974\\\\xx\a\\\\\bm\\\000\0\eng\d	70 leaves			19889403
Analog studies of non-linear processes.			"Das, Dilip Kumar."		M.S. Ch. E.	University of Washington		890525s1971\\\\xx\a\\\\\bm\\\000\0\eng\d	67 leaves			19761839
Phase equilibria and reactions in micellar systems.			"Dougherty, Steven John."		Ph. D.	University of Washington		890508s1972\\\\xx\a\\\\\bm\\\000\0\eng\d	185 leaves			19674619
