245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The monetary system of China and its reform ..."			"Swen, Chi Sheo."				"900711s1931\\\\xx\a\\\\\bm\\\000\0\engrd"	"166 leaves"			"21991877"
"Effect of the Webb-Pomerene export trade act on American foreign trade ..."			"Taylor, Robert Martin,1909-1978."	"M.A."	"University of Washington"		"890718s1931\\\\xx\ab\\\\bm\\\000\0\eng\d"	"93 unnumbered leaves"			"20024319"
"Development and comparison of industrial relationships in Seattle ..."			"Thompson, Margaret Jane."	"M.B.A."	"University of Washington"		"890628s1929\\\\xx\ad\\\\bm\\\000\0\eng\d"	"180 leaves"			"19937085"
"A development of the theory of profits as reflected in civil court decisions ..."			"Van de Walker, Frank Chester."				"961002s1923\\\\xx\\\\\\\bm\\\000\0\eng\d"	"52 leaves"			"35671739"
"The Dawes plan in operation."			"Vance, Sara Smedley."				"961031s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"77 leaves"			"35827897"
"Savings institutions in Washington ..."			"Wagner, Fred William,1904-"	"M.B.A."	"University of Washington"		"890628s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 172 leaves"			"19937390"
"The operation and control of the Seattle freight terminal."			"Wassberg, Clarence Edward."	"M.B.A."	"University of Washington"		"890721s1930\\\\xx\ab\\\\bm\\\000\0\eng\d"	"110 leaves"			"20050951"
"Stabilization of the shingle market ..."			"Watt, Harold Barton."				"961004s1924\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"35686843"
"The recent importance of state business taxes in California, Oregon and Washington ..."			"Wheeler, Bayard O."	"M.A."	"University of Washington"		"890714s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 155 leaves"			"20007028"
"Economic aspects of air transportation."			"Windesheim, Karl Albert."				"961101s1927\\\\xx\f\\\\\bm\\\000\0\eng\d"	"141 [1] leaf"			"35834798"
"A first quarter's work in accounting ..."			"Woodbridge, Frederick Wells,1889-1978."	"M.B.A."	"University of Washington"		"890727s1923\\\\xx\a\\\\\bm\\\000\0\eng\d"	"191 leaves"			"20079312"
"The tariff problem in China with special reference to recent reforms ..."			"Yang, K'ang Tsu."	"M.B.A."	"University of Washington"		"890711s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 154 leaves"			"19989918"
"The Chinese eastern railway and its economic and international importance in the far east ..."			"Yonemoto, Haruo Ross."				"961018s1925\\\\xx\b\\\\\bm\\\000\0\eng\d"	"91 leaves"			"35760465"
"Labeling controversy in canned fruits and vegetables ..."			"Adams, Jay Blake."	"M.B.A."	"University of Washington"		"890605s1943\\\\xx\afh\\\bm\\\000\0\eng\d"	"viii, 148 leaves"			"19815943"
