245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Lean thinking in boat manufacturing /"		"by Chirag Parikh."	"Parikh, Chirag."	"M.S.I.E."	"University of Washington"	"2002"	"030602s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 169 leaves :"			"52353053"
"Pipe-routing algorithm development for a ship engine room design /"		"Jinhyung Park."	"Park, Jinhyung,1963-"	"Ph. D."	"University of Washington"	"2002"	"030325s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 139 leaves :"		"http://hdl.handle.net/1773/10683"	"51917446"
"Driver behavioral adaptation to in-vehicle technologies :"	"influence of demands and exposures /"	"Yiyun Peng."	"Peng, Yiyun,author."	"Ph. D."	"University of Washington"	"2014"	"141212t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 100 pages) :"	"Boyle, Linda Ng,degree supervisor."	"http://hdl.handle.net/1773/26235"	"898083787"
"Dynamic models under uncertainty for large-scale enterprise systems /"		"Philip C. Placek."	"Placek, Philip C.,author."	"Ph. D."	"University of Washington"	"2016"	"160907t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (v, 79 pages)"	"Kohn, Wolf(Engineer),degree supervisor.;Zabinsky, Zelda B.,degree supervisor."	"http://hdl.handle.net/1773/36724"	"957999357"
"Simulation-based optimization for complex stochastic systems /"		"Yanto M. Prasetio."	"Prasetio, Yanto M."	"Ph. D."	"University of Washington"	"2005"	"060720s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 157 leaves :"			"70662322"
"Examining driver behavior at yellow lights :"	"findings using regression and data mining techniques /"	"Amanda D. Raven."	"Raven, Amanda D."	"M.S.I.E."	"University of Washington"	"2011"	"120807s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 37 leaves :"			"805234677"
"Convex and dynamic optimization with learning for adaptive biologically conformal radiotherapy /"		"Fatemeh Saberian."	"Saberian, Fatemeh,author."	"Ph. D."	"University of Washington"	"2015"	"160127t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 181 pages) :"	"Ghate, Archis,degree supervisor."	"http://hdl.handle.net/1773/33982"	"936113778"
"Facility design for hybrid distribution centers /"		"Eric Sanjaya."	"Sanjaya, Eric."	"M.S.I.E."	"University of Washington"	"2004"	"041213s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 75 leaves :"			"57218711"
"Multistate network reliability and applications to infrastructure problems /"		"Sarintip Satitsatian."	"Sarintip Satitsatian."	"Ph. D."	"University of Washington"	"2006"	"070302s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ix, 129 leaves "			"85582207"
"An investigation of complexity measures to characterize heart rate dynamics /"		"Astrid Brigette Schreuder."	"Schreuder, Astrid Brigitte."	"Ph. D."	"University of Washington"	"2000"	"010405s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 200 leaves :"		"http://hdl.handle.net/1773/10685;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9976055"	"46674799"
"Depression management using electronic health record :"	"individual progression prediction /"	"Weiwei Shang."	"Shang, Weiwei,author."	"M.S.I.E."	"University of Washington"	"2016"	"160914t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (52 pages)"	"Liu, Shan(Health engineer),degree supervisor."	"http://hdl.handle.net/1773/36727"	"958377700"
"Annealing adaptive search with hit-and-run sampling methods for global optimization /"		"Yanfang Shen."	"Shen, Yanfang."	"Ph. D."	"University of Washington"	"2005"	"050826s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 147 pages :"			"61357710"
"Feedforward control and process improvement for some time series disturbance models /"		"Lihui Shi."	"Shi, Lihui,1982-"	"Ph. D."	"University of Washington"	"2012"	"130626s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vii, 92 pages) :"	"Kapur, Kailash C.,1941-thesis advisor."	"http://hdl.handle.net/1773/21918;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3542211"	"850983232"
"Software module for spatial design of accommodation block /"		"Himanshu Sinha."	"Sinha, Himanshu."	"M.S.I.E."	"University of Washington"	"2003"	"040607s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 108 leaves :"			"55605073"
"Dynamic reliability based performance measures for multi-state systems /"		"Carlos Alberto Solorio Magaña."	"Solorio Magaña, Carlos Alberto."	"Ph. D."	"University of Washington"	"2010"	"110517s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xvi, 205 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431755"	"724516597"
